scenario,trades,total_pnl,avg_pnl,wins,win_rate,avg_win,avg_loss,profit_factor
SCN_011_LONG_BREAKOUT_VAH,1,23.8,23.8,1,100.0,23.8,0.0,0.0
SCN_016_SHORT_PULLBACK_CORE,1,23.71,23.71,1,100.0,23.71,0.0,0.0
SCN_014_SHORT_MOMENTUM_HIGH_VOL,2,47.54,23.77,2,100.0,23.77,0.0,0.0
SCN_015_SHORT_MOMENTUM_CLUSTER,1,23.7,23.7,1,100.0,23.7,0.0,0.0
SCN_005_LONG_PULLBACK_LOW_VOLUME,3,19.16,6.39,2,66.7,18.49,17.82,1.04
SCN_010_LONG_MOMENTUM_VAL_RETEST,2,5.73,2.87,1,50.0,23.7,17.97,1.32
SCN_006_LONG_BREAKOUT_CORE,2,5.95,2.97,1,50.0,23.74,17.8,1.33
SCN_001_LONG_MOMENTUM_CORE,3,-12.19,-4.06,1,33.3,23.64,17.91,1.32
SCN_003_LONG_MOMENTUM_CLUSTER,3,-11.99,-4.0,1,33.3,23.73,17.86,1.33
SCN_008_LONG_TRAP_RECLAIM_CORE,2,-35.6,-17.8,0,0.0,0.0,17.8,0.0
SCN_002_LONG_MOMENTUM_HIGH_VOL,2,-35.68,-17.84,0,0.0,0.0,17.84,0.0
SCN_017_SHORT_PULLBACK_LOW_VOLUME,2,-35.76,-17.88,0,0.0,0.0,17.88,0.0
SCN_019_SHORT_BREAKOUT_NEWS,1,-17.86,-17.86,0,0.0,0.0,17.86,0.0
SCN_020_SHORT_DISTRIBUTION_EXHAUST,2,-35.72,-17.86,0,0.0,0.0,17.86,0.0
SCN_022_SHORT_MOMENTUM_VAH_REJECT,3,-53.51,-17.84,0,0.0,0.0,17.84,0.0
SCN_023_SHORT_BREAKDOWN_VAL,1,-17.76,-17.76,0,0.0,0.0,17.76,0.0
SCN_024_SHORT_DISTRIBUTION_POC_FAIL,1,-17.89,-17.89,0,0.0,0.0,17.89,0.0
